Township,FIPS,Population center,Population,Population density /km2 (/sq mi),Land area km2 (sq mi),Water area km2 (sq mi),Water %,Geographic coordinates
Ash Creek,02575,,58,1 (2),93 (36),0 (0),0.51%,38deg39'17''N 98deg12'47''W / 38.65472degN 98.21306degW
Black Wolf,07025,,87,1 (2),94 (36),0 (0),0.10%,38deg44'40''N 98deg19'33''W / 38.74444degN 98.32583degW
Carneiro,10800,,57,1 (2),93 (36),0 (0),0.36%,38deg45'2''N 97deg59'46''W / 38.75056degN 97.99611degW
Clear Creek,13725,,91,1 (3),94 (36),0 (0),0.17%,38deg44'10''N 98deg6'16''W / 38.73611degN 98.10444degW
Columbia,15025,,60,1 (2),94 (36),0 (0),0.04%,38deg50'5''N 98deg18'50''W / 38.83472degN 98.31389degW
Ellsworth,20525,,797,9 (23),88 (34),0 (0),0.23%,38deg43'6''N 98deg10'58''W / 38.71833degN 98.18278degW
Empire,21150,,174,1 (3),171 (66),14 (6),7.79%,38deg39'6''N 98deg1'7''W / 38.65167degN 98.01861degW
Garfield,25575,,27,0 (1),92 (36),0 (0),0.30%,38deg50'9''N 98deg6'42''W / 38.83583degN 98.11167degW
Green Garden,28600,Lorraine,211,2 (6),94 (36),0 (0),0.22%,38deg33'30''N 98deg19'19''W / 38.55833degN 98.32194degW
Langley,38600,,76,1 (2),92 (35),2 (1),1.86%,38deg35'33''N 97deg58'15''W / 38.59250degN 97.97083degW
Lincoln,40675,,62,1 (2),95 (37),0 (0),0.22%,38deg39'8''N 98deg18'0''W / 38.65222degN 98.30000degW
Mulberry,49050,,44,0 (1),93 (36),0 (0),0.24%,38deg50'5''N 97deg58'28''W / 38.83472degN 97.97444degW
Noble,50825,,90,1 (3),93 (36),0 (0),0.04%,38deg44'51''N 98deg25'33''W / 38.74750degN 98.42583degW
Palacky,54100,,63,1 (2),94 (36),0 (0),0.08%,38deg38'51''N 98deg25'56''W / 38.64750degN 98.43222degW
Sherman,64950,,65,1 (2),94 (36),0 (0),0.22%,38deg49'21''N 98deg13'7''W / 38.82250degN 98.21861degW
Thomas,70450,,72,1 (2),93 (36),0 (0),0.21%,38deg33'56''N 98deg11'33''W / 38.56556degN 98.19250degW
Trivoli,71525,,55,1 (2),93 (36),0 (0),0.38%,38deg35'7''N 98deg4'23''W / 38.58528degN 98.07306degW
Valley,72800,Holyrood,577,6 (16),93 (36),0 (0),0.14%,38deg34'22''N 98deg24'56''W / 38.57278degN 98.41556degW
Wilson,79700,Wilson,894,10 (25),93 (36),0 (0),0.06%,38deg49'34''N 98deg27'23''W / 38.82611degN 98.45639degW
